Series_2_5
Sweep_2_5_5,  5.021474720E+04, 13:56:54.747, 2020/02/26 13:56:50.717, "YLP"
"Index", "Time[s]"       , "V-mon[V]"      
    256,  1.280000000E-02, -6.737499684E-02
    257,  1.285000000E-02, -6.746874750E-02
    258,  1.290000000E-02, -6.746874750E-02
    259,  1.295000000E-02, -6.746874750E-02
    260,  1.300000000E-02, -6.743749976E-02
    261,  1.305000000E-02, -6.750000268E-02
    262,  1.310000000E-02, -6.750000268E-02
    263,  1.315000000E-02, -6.746874750E-02
    264,  1.320000000E-02, -6.740625203E-02
    265,  1.325000000E-02, -6.746874750E-02
    266,  1.330000000E-02, -6.746874750E-02
    267,  1.335000000E-02, -6.737499684E-02
    268,  1.340000000E-02, -6.746874750E-02
    269,  1.345000000E-02, -6.756249815E-02
    270,  1.350000000E-02, -6.746874750E-02
    271,  1.355000000E-02, -6.753125042E-02
    272,  1.360000000E-02, -6.743749976E-02
    273,  1.365000000E-02, -6.746874750E-02
    274,  1.370000000E-02, -6.750000268E-02
    275,  1.375000000E-02, -6.750000268E-02
    276,  1.380000000E-02, -6.743749976E-02
    277,  1.385000000E-02, -6.750000268E-02
    278,  1.390000000E-02, -6.759375334E-02
    279,  1.395000000E-02, -6.740625203E-02
    280,  1.400000000E-02, -6.746874750E-02
    281,  1.405000000E-02, -6.746874750E-02
    282,  1.410000000E-02, -6.756249815E-02
    283,  1.415000000E-02, -6.734374911E-02
    284,  1.420000000E-02, -6.740625203E-02
    285,  1.425000000E-02, -6.740625203E-02
    286,  1.430000000E-02, -6.746874750E-02
    287,  1.435000000E-02, -6.759375334E-02
    288,  1.440000000E-02, -6.743749976E-02
    289,  1.445000000E-02, -6.753125042E-02
    290,  1.450000000E-02, -6.750000268E-02
    291,  1.455000000E-02, -6.746874750E-02
    292,  1.460000000E-02, -6.756249815E-02
    293,  1.465000000E-02, -6.750000268E-02
    294,  1.470000000E-02, -6.753125042E-02
    295,  1.475000000E-02, -6.753125042E-02
    296,  1.480000000E-02, -6.750000268E-02
    297,  1.485000000E-02, -6.750000268E-02
    298,  1.490000000E-02, -6.746874750E-02
    299,  1.495000000E-02, -6.750000268E-02
    300,  1.500000000E-02, -6.753125042E-02
    301,  1.505000000E-02, -6.743749976E-02
    302,  1.510000000E-02, -6.750000268E-02
    303,  1.515000000E-02, -6.753125042E-02
    304,  1.520000000E-02, -6.753125042E-02
    305,  1.525000000E-02, -6.750000268E-02
    306,  1.530000000E-02, -6.750000268E-02
    307,  1.535000000E-02, -6.753125042E-02
    308,  1.540000000E-02, -6.743749976E-02
    309,  1.545000000E-02, -6.750000268E-02
    310,  1.550000000E-02, -6.750000268E-02
    311,  1.555000000E-02, -6.750000268E-02
